Профессия,Языки/технологии (обязательно),Инструменты (популярные),Платформы/среда,Методологии/практики,Дальше изучать (популярные альтернативы)
UX/UI‑дизайнер,"Основы UX (исследования, сценарии) · Основы UI (типографика, цвет, композиция) · Гайдлайны (Apple HIG, Material)",Figma · FigJam · Sketch · Zeplin · Maze/Useberry (тесты),Web · iOS · Android,Double Diamond · Дизайн‑системы · A/B‑тестирование · UX‑исследования,Авто‑layout/компоненты в Figma · Motion/микро‑анимации · Основы HTML/CSS
Разработчик no‑code/low‑code,Моделирование данных · Логика потоков · API/веб‑хуки,Bubble · Webflow · Adalo · Glide · Airtable · Zapier · Make,Web · PWA · Экспорт в мобильные сборки,Быстрый прототипинг · MVP‑подход · Базовый CI/CD (экспорт/деплой),Power Apps · OutSystems · Retool · Основы SQL · Git основы
Фронтенд‑разработчик,"HTML · CSS (Flexbox, Grid) · JavaScript (ES6+)",VS Code · Git · npm/pnpm · DevTools,Web · Vite/Webpack · Node.js (сборка),Компонентный подход · A11y · Responsive · Тесты (Jest/RTL) · CI/CD,React (самый популярный) · TypeScript · Next.js · Vue/Angular · Tailwind · Zustand/Redux · SSR/SSG
Бэкенд‑разработчик,Один язык: Node.js (JS/TS) или Python или Java/Kotlin · HTTP/REST · SQL,Git · Postman/Insomnia · Docker · ORM (Prisma/TypeORM/SQLAlchemy),Linux · Реляционные БД (PostgreSQL/MySQL) · Redis,Архитектура API · Auth (JWT/OAuth) · Логирование · Кеширование · Unit/Integration тесты,NestJS/Express · Django/FastAPI · Spring Boot · gRPC · Kafka/RabbitMQ · GraphQL
Мобильный разработчик (кроссплатформенный),React Native (JS/TS) или Flutter (Dart),Android Studio · Xcode · Expo (для RN),iOS · Android · App/Play Store,Навигация · State management · OTA‑обновления · MVVM,Kotlin Multiplatform · .NET MAUI · Capacitor/Ionic · Нативные модули
Мобильный разработчик iOS,Swift · Xcode · SwiftUI или UIKit · iOS SDK основы,Xcode Instruments · TestFlight · CocoaPods/SwiftPM,iOS/iPadOS · App Store,MVC/MVVM · Auto Layout · App lifecycle · Unit/UI тесты,Combine · Core Data · Push/Background tasks · Objective‑C (для legacy)
Мобильный разработчик Android,Kotlin · Android SDK · Jetpack основы,Android Studio · Gradle · ADB · Firebase,Android · Google Play,MVVM · Jetpack Compose · Coroutines/Flow · Unit/UI тесты,Room · Hilt/Dagger · WorkManager · NDK/Оптимизация
Инженер IoT/IIoT,Электроника основы · Arduino (C/C++) · Raspberry Pi (Python) · Датчики/актуаторы,Arduino IDE · PlatformIO · MQTT брокер · Логический анализатор,Микроконтроллеры · RTOS · Облачные IoT (AWS/Azure),MQTT/HTTP · OTA‑обновления · Безопасность устройств · Edge vs Cloud,OPC UA · Modbus/TCP · Zephyr RTOS · Rust/C для embedded
Администратор систем и сетей,Linux · Windows Server · TCP/IP · DNS/DHCP · Bash/PowerShell,SSH · Ansible · pfSense · Wireshark · Zabbix/Prometheus,Виртуализация (VMware/Hyper‑V) · Docker · Облака (AWS/Azure),Backup/DR · Hardening · Monitoring · Базовое IaC,Kubernetes · Terraform · SSO/IdM · SRE‑практики
Разработчик VR/AR,Unity (C#) или Unreal (C++) · 3D‑математика · Шейдеры основы,Blender · Git LFS · XR SDKs,Meta Quest · SteamVR · ARKit/ARCore,90/120 FPS цели · Comfort/UX · Профилирование,DOTS/ECS · OpenXR · Оптимизация рендера
Блокчейн‑разработчик (смарт‑контракты),Основы DLT · Ethereum · Solidity · EVM,Remix · Hardhat/Foundry · MetaMask · Ethers.js,Testnets · IPFS/Pinata,"Безопасность (reentrancy, overflow) · Аудиты · Оптимизация газа",Rust/Solana · Substrate/Polkadot · StarkNet/Cairo
Разработчик игр (ПК),Движок (Unity/Unreal) · Алгоритмы · ООП,VS/VS Code · Git · Профилировщики,Windows · Steam · Консоли (базово),Gameplay loop · Physics · Asset pipeline · CI сборки,Netcode · ECS · Rendering pipelines · Shader Graph
Разработчик ПО для Windows,C# · .NET · WinUI/WPF,Visual Studio · NuGet · MSBuild · Windows SDK,Windows · Microsoft Store/Installer,MVVM · Async/await · Логирование · Тестирование,.NET MAUI · Win32/COM · Расширенный WPF
Разработчик ПО для macOS,Swift · Xcode · AppKit · Базовый SwiftUI,Swift Package Manager · Instruments · Notarization,macOS · Mac App Store,Sandbox · Entitlements · MVC/MVVM,Catalyst · iCloud · Основы Metal
Data Science / Data Engineering / ML Engineering,Python · NumPy/Pandas · SQL · Базовая статистика · ML основы,Jupyter · scikit‑learn · TensorFlow/PyTorch · dbt/Airflow (для DE),Linux · Хранилища данных (BigQuery/Snowflake) · Spark,CRISP‑DM · EDA · Валидация · Базовый MLOps,Feature stores · Kubernetes · Vector DBs · Инструменты LLM
Специалист по кибербезопасности,"Сети (TCP/IP, DNS, HTTP) · Linux/Windows · Python/Bash · OWASP Top 10",Wireshark · nmap · Burp Suite · Metasploit · SIEM (Splunk/ELK),On‑prem · Облака · AD/Entra ID,Threat modeling · Pentest · IR/DFIR · Hardening,OSCP/CEH · Red/Blue/Purple Team · Zero Trust
Облачный инженер / архитектор,Облако (AWS/Azure/GCP) · Linux · Сети · Docker · Git,Terraform · Kubernetes · CLI провайдеров · Monitoring (CloudWatch/Prometheus),IaaS/PaaS · Serverless · CDN,IaC · CI/CD · Well‑Architected · FinOps · Security by design,Service Mesh · Event‑driven · Multi‑cloud · Сертификации (AWS/Azure/GCP)
